Title: Gale2013MORB

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
5000.00 1573.15 99.399075 50.4612 1.54156 14.9651 1.39953 8.82086 0.17314 7.69786 11.3615 2.7628 0.144166 0.169217 0.503023
5000.00 1563.15 99.399374 50.4611 1.54156 14.9651 1.40253 8.81814 0.17314 7.69784 11.3614 2.76279 0.144166 0.169216 0.503021
5000.00 1553.15 99.399695 50.4609 1.54155 14.965 1.40574 8.81521 0.173139 7.69781 11.3614 2.76279 0.144165 0.169216 0.50302
5000.00 1543.15 99.400037 50.4607 1.54155 14.965 1.40917 8.81209 0.173139 7.69778 11.3614 2.76278 0.144165 0.169215 0.503018
5000.00 1533.15 99.400402 50.4606 1.54154 14.9649 1.41283 8.80876 0.173138 7.69776 11.3613 2.76277 0.144164 0.169215 0.503016
5000.00 1523.15 99.400791 50.4604 1.54154 14.9649 1.41673 8.80521 0.173137 7.69773 11.3613 2.76275 0.144164 0.169214 0.503014
5000.00 1513.15 94.353936 50.3999 1.60468 15.5171 1.42451 8.93147 0.182398 7.15269 11.0292 2.89792 0.151875 0.178265 0.52992
5000.00 1503.15 89.476840 50.3584 1.66849 16.0878 1.43039 9.05567 0.19234 6.59887 10.6592 3.04186 0.160153 0.187982 0.558804
5000.00 1493.15 85.115578 50.3398 1.72753 16.6323 1.43426 9.16613 0.202196 6.07764 10.2833 3.18341 0.168359 0.197614 0.587437
5000.00 1483.15 81.199697 50.3432 1.78146 17.1507 1.43628 9.26236 0.211947 5.58731 9.90509 3.32235 0.176478 0.207144 0.615766
5000.00 1473.15 77.438865 50.3667 1.83553 17.605 1.44018 9.3704 0.22224 5.13804 9.51462 3.45938 0.184971 0.217204 0.645671
5000.00 1463.15 71.071572 50.3733 1.96681 17.5049 1.49251 9.83715 0.24215 4.87003 8.97371 3.59908 0.200188 0.236663 0.703516
5000.00 1453.15 64.814779 50.3317 2.13148 17.2966 1.55426 10.2903 0.265526 4.5288 8.61244 3.74027 0.217686 0.259509 0.771429
